Header: Zwei harmonische Funktionen 
time 	signal1 	signal2 
   0.229   -0.498    0.306 
   0.230   -0.509    0.294 
   0.231   -0.520    0.281 
   0.232   -0.531    0.268 
   0.233   -0.541    0.255 
   0.234   -0.552    0.241 
   0.235   -0.562    0.227 
   0.236   -0.572    0.213 
   0.237   -0.583    0.199 
   0.238   -0.593    0.184 
   0.239   -0.603    0.169 
   0.240   -0.613    0.155 
   0.241   -0.623    0.139 
   0.242   -0.633    0.124 
   0.243   -0.642    0.109 
   0.244   -0.652    0.094 
   0.245   -0.661    0.078 
   0.246   -0.671    0.063 
   0.247   -0.680    0.047 
   0.248   -0.689    0.031 
   0.249   -0.698    0.016 
   0.250   -0.707    0.000 
   0.251   -0.716   -0.016 
   0.252   -0.725   -0.031 
   0.253   -0.733   -0.047 
   0.254   -0.742   -0.063 
   0.255   -0.750   -0.078 
   0.256   -0.758   -0.094 
   0.257   -0.766   -0.109 
   0.258   -0.775   -0.124 
   0.259   -0.782   -0.139 
   0.260   -0.790   -0.155 
   0.261   -0.798   -0.169 
   0.262   -0.805   -0.184 
   0.263   -0.813   -0.199 
   0.264   -0.820   -0.213 
   0.265   -0.827   -0.227 
   0.266   -0.834   -0.241 
   0.267   -0.841   -0.255 
   0.268   -0.848   -0.268 
   0.269   -0.854   -0.281 
   0.270   -0.861   -0.294 
   0.271   -0.867   -0.306 
   0.272   -0.873   -0.319 
   0.273   -0.879   -0.331 
   0.274   -0.885   -0.342 
   0.275   -0.891   -0.354 
   0.276   -0.897   -0.364 
   0.277   -0.902   -0.375 
   0.278   -0.907   -0.385 
   0.279   -0.913   -0.395 
   0.280   -0.918   -0.405 
   0.281   -0.923   -0.414 
   0.282   -0.927   -0.422 
   0.283   -0.932   -0.430 
   0.284   -0.937   -0.438 
   0.285   -0.941   -0.446 
   0.286   -0.945   -0.452 
   0.287   -0.949   -0.459 
   0.288   -0.953   -0.465 
   0.289   -0.957   -0.470 
   0.290   -0.960   -0.476 
   0.291   -0.964   -0.480 
   0.292   -0.967   -0.484 
   0.293   -0.970   -0.488 
   0.294   -0.973   -0.491 
   0.295   -0.976   -0.494 
   0.296   -0.979   -0.496 
   0.297   -0.981   -0.498 
   0.298   -0.983   -0.499 
   0.299   -0.986   -0.500 
   0.300   -0.988   -0.500 
   0.301   -0.990   -0.500 
   0.302   -0.991   -0.499 
   0.303   -0.993   -0.498 
   0.304   -0.994   -0.496 
   0.305   -0.996   -0.494 
   0.306   -0.997   -0.491 
   0.307   -0.998   -0.488 
   0.308   -0.998   -0.484 
   0.309   -0.999   -0.480 
   0.310   -1.000   -0.476 
   0.311   -1.000   -0.470 
   0.312   -1.000   -0.465 
   0.313   -1.000   -0.459 
   0.314   -1.000   -0.452 
   0.315   -1.000   -0.446 
   0.316   -0.999   -0.438 
   0.317   -0.998   -0.430 
   0.318   -0.998   -0.422 
   0.319   -0.997   -0.414 
   0.320   -0.996   -0.405 
   0.321   -0.994   -0.395 
   0.322   -0.993   -0.385 
   0.323   -0.991   -0.375 
   0.324   -0.990   -0.364 
   0.325   -0.988   -0.354 
   0.326   -0.986   -0.342 
   0.327   -0.983   -0.331 
   0.328   -0.981   -0.319 
   0.329   -0.979   -0.306 
   0.330   -0.976   -0.294 
   0.331   -0.973   -0.281 
   0.332   -0.970   -0.268 
   0.333   -0.967   -0.255 
   0.334   -0.964   -0.241 
   0.335   -0.960   -0.227 
   0.336   -0.957   -0.213 
   0.337   -0.953   -0.199 
   0.338   -0.949   -0.184 
   0.339   -0.945   -0.169 
   0.340   -0.941   -0.155 
   0.341   -0.937   -0.139 
   0.342   -0.932   -0.124 
   0.343   -0.927   -0.109 
   0.344   -0.923   -0.094 
   0.345   -0.918   -0.078 
   0.346   -0.913   -0.063 
   0.347   -0.907   -0.047 
   0.348   -0.902   -0.031 
   0.349   -0.897   -0.016 
   0.350   -0.891    0.000 
   0.351   -0.885    0.016 
   0.352   -0.879    0.031 
   0.353   -0.873    0.047 
   0.354   -0.867    0.063 
   0.355   -0.861    0.078 
   0.356   -0.854    0.094 
   0.357   -0.848    0.109 
   0.358   -0.841    0.124 
   0.359   -0.834    0.139 
   0.360   -0.827    0.155 
   0.361   -0.820    0.169 
   0.362   -0.813    0.184 
   0.363   -0.805    0.199 
   0.364   -0.798    0.213 
   0.365   -0.790    0.227 
   0.366   -0.782    0.241 
   0.367   -0.775    0.255 
   0.368   -0.766    0.268 
   0.369   -0.758    0.281 
   0.370   -0.750    0.294 
   0.371   -0.742    0.306 
   0.372   -0.733    0.319 
   0.373   -0.725    0.331 
   0.374   -0.716    0.342 
   0.375   -0.707    0.354 
   0.376   -0.698    0.364 
   0.377   -0.689    0.375 
   0.378   -0.680    0.385 
   0.379   -0.671    0.395 
   0.380   -0.661    0.405 
   0.381   -0.652    0.414 
   0.382   -0.642    0.422 
   0.383   -0.633    0.430 
   0.384   -0.623    0.438 
   0.385   -0.613    0.446 
   0.386   -0.603    0.452 
   0.387   -0.593    0.459 
   0.388   -0.583    0.465 
   0.389   -0.572    0.470 
   0.390   -0.562    0.476 
   0.391   -0.552    0.480 
   0.392   -0.541    0.484 
   0.393   -0.531    0.488 
   0.394   -0.520    0.491 
   0.395   -0.509    0.494 
   0.396   -0.498    0.496 
   0.397   -0.487    0.498 
   0.398   -0.476    0.499 
   0.399   -0.465    0.500 
   0.400   -0.454    0.500 
   0.401   -0.443    0.500 
   0.402   -0.431    0.499 
   0.403   -0.420    0.498 
   0.404   -0.409    0.496 
   0.405   -0.397    0.494 
   0.406   -0.386    0.491 
   0.407   -0.374    0.488 
   0.408   -0.362    0.484 
   0.409   -0.351    0.480 
   0.410   -0.339    0.476 
   0.411   -0.327    0.470 
   0.412   -0.315    0.465 
   0.413   -0.303    0.459 
   0.414   -0.291    0.452 
   0.415   -0.279    0.446 
   0.416   -0.267    0.438 
   0.417   -0.255    0.430 
   0.418   -0.243    0.422 
   0.419   -0.230    0.414 
   0.420   -0.218    0.405 
   0.421   -0.206    0.395 
   0.422   -0.194    0.385 
   0.423   -0.181    0.375 
   0.424   -0.169    0.364 
   0.425   -0.156    0.354 
   0.426   -0.144    0.342 
   0.427   -0.132    0.331 
   0.428   -0.119    0.319 
   0.429   -0.107    0.306 
   0.430   -0.094    0.294 
   0.431   -0.082    0.281 
   0.432   -0.069    0.268 
   0.433   -0.057    0.255 
   0.434   -0.044    0.241 
   0.435   -0.031    0.227 
   0.436   -0.019    0.213 
   0.437   -0.006    0.199 
   0.438    0.006    0.184 
   0.439    0.019    0.169 
   0.440    0.031    0.155 
   0.441    0.044    0.139 
   0.442    0.057    0.124 
   0.443    0.069    0.109 
   0.444    0.082    0.094 
   0.445    0.094    0.078 
   0.446    0.107    0.063 
   0.447    0.119    0.047 
   0.448    0.132    0.031 
   0.449    0.144    0.016 
   0.450    0.156    0.000 
   0.451    0.169   -0.016 
   0.452    0.181   -0.031 
   0.453    0.194   -0.047 
   0.454    0.206   -0.063 
   0.455    0.218   -0.078 
   0.456    0.230   -0.094 
   0.457    0.243   -0.109 
   0.458    0.255   -0.124 
   0.459    0.267   -0.139 
   0.460    0.279   -0.155 
   0.461    0.291   -0.169 
   0.462    0.303   -0.184 
   0.463    0.315   -0.199 
   0.464    0.327   -0.213 
   0.465    0.339   -0.227 
   0.466    0.351   -0.241 
   0.467    0.362   -0.255 
   0.468    0.374   -0.268 
   0.469    0.386   -0.281 
   0.470    0.397   -0.294 
   0.471    0.409   -0.306 
   0.472    0.420   -0.319 
   0.473    0.431   -0.331 
   0.474    0.443   -0.342 
   0.475    0.454   -0.354 
   0.476    0.465   -0.364 
   0.477    0.476   -0.375 
   0.478    0.487   -0.385 
   0.479    0.498   -0.395 
   0.480    0.509   -0.405 
   0.481    0.520   -0.414 
   0.482    0.531   -0.422 
   0.483    0.541   -0.430 
   0.484    0.552   -0.438 
   0.485    0.562   -0.446 
   0.486    0.572   -0.452 
   0.487    0.583   -0.459 
   0.488    0.593   -0.465 
   0.489    0.603   -0.470 
   0.490    0.613   -0.476 
   0.491    0.623   -0.480 
   0.492    0.633   -0.484 
   0.493    0.642   -0.488 
   0.494    0.652   -0.491 
   0.495    0.661   -0.494 
   0.496    0.671   -0.496 
   0.497    0.680   -0.498 
   0.498    0.689   -0.499 
   0.499    0.698   -0.500 
   0.500    0.707   -0.500 
   0.501    0.716   -0.500 
   0.502    0.725   -0.499 
   0.503    0.733   -0.498 
   0.504    0.742   -0.496 
   0.505    0.750   -0.494 
   0.506    0.758   -0.491 
   0.507    0.766   -0.488 
   0.508    0.775   -0.484 
   0.509    0.782   -0.480 
   0.510    0.790   -0.476 
   0.511    0.798   -0.470 
   0.512    0.805   -0.465 
   0.513    0.813   -0.459 
   0.514    0.820   -0.452 
   0.515    0.827   -0.446 
   0.516    0.834   -0.438 
   0.517    0.841   -0.430 
   0.518    0.848   -0.422 
   0.519    0.854   -0.414 
   0.520    0.861   -0.405 
   0.521    0.867   -0.395 
   0.522    0.873   -0.385 
   0.523    0.879   -0.375 
   0.524    0.885   -0.364 
   0.525    0.891   -0.354 
   0.526    0.897   -0.342 
   0.527    0.902   -0.331 
   0.528    0.907   -0.319 
   0.529    0.913   -0.306 
   0.530    0.918   -0.294 
   0.531    0.923   -0.281 
   0.532    0.927   -0.268 
   0.533    0.932   -0.255 
   0.534    0.937   -0.241 
   0.535    0.941   -0.227 
   0.536    0.945   -0.213 
   0.537    0.949   -0.199 
   0.538    0.953   -0.184 
   0.539    0.957   -0.169 
   0.540    0.960   -0.155 
   0.541    0.964   -0.139 
   0.542    0.967   -0.124 
   0.543    0.970   -0.109 
   0.544    0.973   -0.094 
   0.545    0.976   -0.078 
   0.546    0.979   -0.063 
   0.547    0.981   -0.047 
   0.548    0.983   -0.031 
   0.549    0.986   -0.016 
   0.550    0.988   -0.000 
   0.551    0.990    0.016 
   0.552    0.991    0.031 
   0.553    0.993    0.047 
   0.554    0.994    0.063 
   0.555    0.996    0.078 
   0.556    0.997    0.094 
   0.557    0.998    0.109 
   0.558    0.998    0.124 
   0.559    0.999    0.139 
   0.560    1.000    0.155 
   0.561    1.000    0.169 
   0.562    1.000    0.184 
   0.563    1.000    0.199 
   0.564    1.000    0.213 
   0.565    1.000    0.227 
   0.566    0.999    0.241 
   0.567    0.998    0.255 
   0.568    0.998    0.268 
   0.569    0.997    0.281 
   0.570    0.996    0.294 
   0.571    0.994    0.306 
   0.572    0.993    0.319 
   0.573    0.991    0.331 
   0.574    0.990    0.342 
   0.575    0.988    0.354 
   0.576    0.986    0.364 
   0.577    0.983    0.375 
   0.578    0.981    0.385 
   0.579    0.979    0.395 
   0.580    0.976    0.405 
   0.581    0.973    0.414 
   0.582    0.970    0.422 
   0.583    0.967    0.430 
   0.584    0.964    0.438 
   0.585    0.960    0.446 
   0.586    0.957    0.452 
   0.587    0.953    0.459 
   0.588    0.949    0.465 
   0.589    0.945    0.470 
   0.590    0.941    0.476 
   0.591    0.937    0.480 
   0.592    0.932    0.484 
   0.593    0.927    0.488 
   0.594    0.923    0.491 
   0.595    0.918    0.494 
   0.596    0.913    0.496 
   0.597    0.907    0.498 
   0.598    0.902    0.499 
   0.599    0.897    0.500 
   0.600    0.891    0.500 
   0.601    0.885    0.500 
   0.602    0.879    0.499 
   0.603    0.873    0.498 
   0.604    0.867    0.496 
   0.605    0.861    0.494 
   0.606    0.854    0.491 
   0.607    0.848    0.488 
   0.608    0.841    0.484 
   0.609    0.834    0.480 
   0.610    0.827    0.476 
   0.611    0.820    0.470 
   0.612    0.813    0.465 
   0.613    0.805    0.459 
   0.614    0.798    0.452 
   0.615    0.790    0.446 
   0.616    0.782    0.438 
   0.617    0.775    0.430 
   0.618    0.766    0.422 
   0.619    0.758    0.414 
   0.620    0.750    0.405 
   0.621    0.742    0.395 
   0.622    0.733    0.385 
   0.623    0.725    0.375 
   0.624    0.716    0.364 
   0.625    0.707    0.354 
   0.626    0.698    0.342 
   0.627    0.689    0.331 
   0.628    0.680    0.319 
   0.629    0.671    0.306 
   0.630    0.661    0.294 
   0.631    0.652    0.281 
   0.632    0.642    0.268 
   0.633    0.633    0.255 
   0.634    0.623    0.241 
   0.635    0.613    0.227 
   0.636    0.603    0.213 
   0.637    0.593    0.199 
   0.638    0.583    0.184 
   0.639    0.572    0.169 
   0.640    0.562    0.155 
   0.641    0.552    0.139 
   0.642    0.541    0.124 
   0.643    0.531    0.109 
   0.644    0.520    0.094 
   0.645    0.509    0.078 
   0.646    0.498    0.063 
   0.647    0.487    0.047 
   0.648    0.476    0.031 
   0.649    0.465    0.016 
   0.650    0.454   -0.000 
   0.651    0.443   -0.016 
   0.652    0.431   -0.031 
   0.653    0.420   -0.047 
   0.654    0.409   -0.063 
   0.655    0.397   -0.078 
   0.656    0.386   -0.094 
   0.657    0.374   -0.109 
   0.658    0.362   -0.124 
   0.659    0.351   -0.139 
   0.660    0.339   -0.155 
   0.661    0.327   -0.169 
   0.662    0.315   -0.184 
   0.663    0.303   -0.199 
   0.664    0.291   -0.213 
   0.665    0.279   -0.227 
   0.666    0.267   -0.241 
   0.667    0.255   -0.255 
   0.668    0.243   -0.268 
   0.669    0.230   -0.281 
   0.670    0.218   -0.294 
   0.671    0.206   -0.306 
   0.672    0.194   -0.319 
   0.673    0.181   -0.331 
   0.674    0.169   -0.342 
   0.675    0.156   -0.354 
   0.676    0.144   -0.364 
   0.677    0.132   -0.375 
   0.678    0.119   -0.385 
   0.679    0.107   -0.395 
   0.680    0.094   -0.405 
   0.681    0.082   -0.414 
   0.682    0.069   -0.422 
   0.683    0.057   -0.430 
   0.684    0.044   -0.438 
   0.685    0.031   -0.446 
   0.686    0.019   -0.452 
   0.687    0.006   -0.459 
   0.688   -0.006   -0.465 
   0.689   -0.019   -0.470 
   0.690   -0.031   -0.476 
   0.691   -0.044   -0.480 
   0.692   -0.057   -0.484 
   0.693   -0.069   -0.488 
   0.694   -0.082   -0.491 
   0.695   -0.094   -0.494 
   0.696   -0.107   -0.496 
   0.697   -0.119   -0.498 
   0.698   -0.132   -0.499 
   0.699   -0.144   -0.500 
   0.700   -0.156   -0.500 
   0.701   -0.169   -0.500 
   0.702   -0.181   -0.499 
   0.703   -0.194   -0.498 
   0.704   -0.206   -0.496 
   0.705   -0.218   -0.494 
   0.706   -0.230   -0.491 
   0.707   -0.243   -0.488 
   0.708   -0.255   -0.484 
   0.709   -0.267   -0.480 
   0.710   -0.279   -0.476 
   0.711   -0.291   -0.470 
   0.712   -0.303   -0.465 
   0.713   -0.315   -0.459 
   0.714   -0.327   -0.452 
   0.715   -0.339   -0.446 
   0.716   -0.351   -0.438 
   0.717   -0.362   -0.430 
   0.718   -0.374   -0.422 
   0.719   -0.386   -0.414 
   0.720   -0.397   -0.405 
   0.721   -0.409   -0.395 
   0.722   -0.420   -0.385 
   0.723   -0.431   -0.375 
   0.724   -0.443   -0.364 
   0.725   -0.454   -0.354 
   0.726   -0.465   -0.342 
   0.727   -0.476   -0.331 
   0.728   -0.487   -0.319 
   0.729   -0.498   -0.306 
   0.730   -0.509   -0.294 
   0.731   -0.520   -0.281 
   0.732   -0.531   -0.268 
   0.733   -0.541   -0.255 
   0.734   -0.552   -0.241 
   0.735   -0.562   -0.227 
   0.736   -0.572   -0.213 
   0.737   -0.583   -0.199 
   0.738   -0.593   -0.184 
   0.739   -0.603   -0.169 
   0.740   -0.613   -0.155 
   0.741   -0.623   -0.139 
   0.742   -0.633   -0.124 
   0.743   -0.642   -0.109 
   0.744   -0.652   -0.094 
   0.745   -0.661   -0.078 
   0.746   -0.671   -0.063 
   0.747   -0.680   -0.047 
   0.748   -0.689   -0.031 
   0.749   -0.698   -0.016 
   0.750   -0.707   -0.000 
   0.751   -0.716    0.016 
   0.752   -0.725    0.031 
   0.753   -0.733    0.047 
   0.754   -0.742    0.063 
   0.755   -0.750    0.078 
   0.756   -0.758    0.094 
   0.757   -0.766    0.109 
   0.758   -0.775    0.124 
   0.759   -0.782    0.139 
   0.760   -0.790    0.155 
   0.761   -0.798    0.169 
   0.762   -0.805    0.184 
   0.763   -0.813    0.199 
   0.764   -0.820    0.213 
   0.765   -0.827    0.227 
   0.766   -0.834    0.241 
   0.767   -0.841    0.255 
   0.768   -0.848    0.268 
   0.769   -0.854    0.281 
   0.770   -0.861    0.294 
   0.771   -0.867    0.306 
   0.772   -0.873    0.319 
   0.773   -0.879    0.331 
   0.774   -0.885    0.342 
   0.775   -0.891    0.354 
   0.776   -0.897    0.364 
   0.777   -0.902    0.375 
   0.778   -0.907    0.385 
   0.779   -0.913    0.395 
   0.780   -0.918    0.405 
   0.781   -0.923    0.414 
   0.782   -0.927    0.422 
   0.783   -0.932    0.430 
   0.784   -0.937    0.438 
   0.785   -0.941    0.446 
   0.786   -0.945    0.452 
   0.787   -0.949    0.459 
   0.788   -0.953    0.465 
   0.789   -0.957    0.470 
   0.790   -0.960    0.476 
   0.791   -0.964    0.480 
   0.792   -0.967    0.484 
   0.793   -0.970    0.488 
   0.794   -0.973    0.491 
   0.795   -0.976    0.494 
   0.796   -0.979    0.496 
   0.797   -0.981    0.498 
   0.798   -0.983    0.499 
   0.799   -0.986    0.500 
   0.800   -0.988    0.500 
   0.801   -0.990    0.500 
   0.802   -0.991    0.499 
   0.803   -0.993    0.498 
   0.804   -0.994    0.496 
   0.805   -0.996    0.494 
   0.806   -0.997    0.491 
   0.807   -0.998    0.488 
   0.808   -0.998    0.484 
   0.809   -0.999    0.480 
   0.810   -1.000    0.476 
   0.811   -1.000    0.470 
   0.812   -1.000    0.465 
   0.813   -1.000    0.459 
   0.814   -1.000    0.452 
   0.815   -1.000    0.446 
   0.816   -0.999    0.438 
   0.817   -0.998    0.430 
   0.818   -0.998    0.422 
   0.819   -0.997    0.414 
   0.820   -0.996    0.405 
   0.821   -0.994    0.395 
   0.822   -0.993    0.385 
   0.823   -0.991    0.375 
   0.824   -0.990    0.364 
   0.825   -0.988    0.354 
   0.826   -0.986    0.342 
   0.827   -0.983    0.331 
   0.828   -0.981    0.319 
   0.829   -0.979    0.306 
   0.830   -0.976    0.294 
   0.831   -0.973    0.281 
   0.832   -0.970    0.268 
   0.833   -0.967    0.255 
   0.834   -0.964    0.241 
   0.835   -0.960    0.227 
   0.836   -0.957    0.213 
   0.837   -0.953    0.199 
   0.838   -0.949    0.184 
   0.839   -0.945    0.169 
   0.840   -0.941    0.155 
   0.841   -0.937    0.139 
   0.842   -0.932    0.124 
   0.843   -0.927    0.109 
   0.844   -0.923    0.094 
   0.845   -0.918    0.078 
   0.846   -0.913    0.063 
   0.847   -0.907    0.047 
   0.848   -0.902    0.031 
   0.849   -0.897    0.016 
   0.850   -0.891    0.000 
   0.851   -0.885   -0.016 
   0.852   -0.879   -0.031 
   0.853   -0.873   -0.047 
   0.854   -0.867   -0.063 
   0.855   -0.861   -0.078 
   0.856   -0.854   -0.094 
   0.857   -0.848   -0.109 
   0.858   -0.841   -0.124 
   0.859   -0.834   -0.139 
   0.860   -0.827   -0.155 
   0.861   -0.820   -0.169 
   0.862   -0.813   -0.184 
   0.863   -0.805   -0.199 
   0.864   -0.798   -0.213 
   0.865   -0.790   -0.227 
   0.866   -0.782   -0.241 
   0.867   -0.775   -0.255 
   0.868   -0.766   -0.268 
   0.869   -0.758   -0.281 
   0.870   -0.750   -0.294 
   0.871   -0.742   -0.306 
   0.872   -0.733   -0.319 
   0.873   -0.725   -0.331 
   0.874   -0.716   -0.342 
   0.875   -0.707   -0.354 
   0.876   -0.698   -0.364 
   0.877   -0.689   -0.375 
   0.878   -0.680   -0.385 
   0.879   -0.671   -0.395 
   0.880   -0.661   -0.405 
   0.881   -0.652   -0.414 
   0.882   -0.642   -0.422 
   0.883   -0.633   -0.430 
   0.884   -0.623   -0.438 
   0.885   -0.613   -0.446 
   0.886   -0.603   -0.452 
   0.887   -0.593   -0.459 
   0.888   -0.583   -0.465 
   0.889   -0.572   -0.470 
   0.890   -0.562   -0.476 
   0.891   -0.552   -0.480 
   0.892   -0.541   -0.484 
   0.893   -0.531   -0.488 
   0.894   -0.520   -0.491 
   0.895   -0.509   -0.494 
   0.896   -0.498   -0.496 
   0.897   -0.487   -0.498 
   0.898   -0.476   -0.499 
   0.899   -0.465   -0.500 
   0.900   -0.454   -0.500 
   0.901   -0.443   -0.500 
   0.902   -0.431   -0.499 
   0.903   -0.420   -0.498 
   0.904   -0.409   -0.496 
   0.905   -0.397   -0.494 
   0.906   -0.386   -0.491 
   0.907   -0.374   -0.488 
   0.908   -0.362   -0.484 
   0.909   -0.351   -0.480 
   0.910   -0.339   -0.476 
   0.911   -0.327   -0.470 
   0.912   -0.315   -0.465 
   0.913   -0.303   -0.459 
   0.914   -0.291   -0.452 
   0.915   -0.279   -0.446 
   0.916   -0.267   -0.438 
   0.917   -0.255   -0.430 
   0.918   -0.243   -0.422 
   0.919   -0.230   -0.414 
   0.920   -0.218   -0.405 
   0.921   -0.206   -0.395 
   0.922   -0.194   -0.385 
   0.923   -0.181   -0.375 
   0.924   -0.169   -0.364 
   0.925   -0.156   -0.354 
   0.926   -0.144   -0.342 
   0.927   -0.132   -0.331 
   0.928   -0.119   -0.319 
   0.929   -0.107   -0.306 
   0.930   -0.094   -0.294 
   0.931   -0.082   -0.281 
   0.932   -0.069   -0.268 
   0.933   -0.057   -0.255 
   0.934   -0.044   -0.241 
   0.935   -0.031   -0.227 
   0.936   -0.019   -0.213 
   0.937   -0.006   -0.199 
   0.938    0.006   -0.184 
   0.939    0.019   -0.169 
   0.940    0.031   -0.155 
